ID;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
Age;22;19;23;21;23;22;24;24;22;33;22;22;25;22;25
Gender;1;1;1;1;1;1;1;4;1;1;4;1;4;1;1
VR_YN;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
VRHOURS;3;5;1;2;3;4;5;5;5;2;2;4;1;3;2
FRUSTRATION_SCAPE;5;3;3;4;6;1;3;6;6;3;6;3;7;4;6
USE_OF_FEATURE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
HM_USE;1;1;2;2;1;1;3;1;1;5;1;1;1;1;2
ACTIVATION_TIME;5;5;4;4;5;4;7;5;5;5;5;6;4;4;4
NASA_MD;8;4;7;3;4;10;10;15;2;10;13;9;14;6;12
NASA_PD;7;1;7;3;4;4;5;3;1;19;1;3;3;3;3
NASA_RUSH;6;4;4;7;4;5;15;6;3;1;3;4;1;1;6
NASA_PERFORMANCEDEMAND;3;5;5;3;3;5;7;7;2;2;10;7;6;12;10
NASA_SUBJECTIVE_SUCCES;10;17;13;15;13;15;12;16;15;14;10;16;14;16;18
NASA_IDISA;2;15;8;4;1;5;13;4;2;17;8;11;11;3;4
SUS_FREQUENT;4;5;4;5;4;2;4;4;4;2;4;3;5;5;4
SUS_COMPLEX;1;1;2;1;2;4;2;2;2;4;1;1;1;1;2
SUS_EASYTOUSE;4;5;4;5;4;2;4;3;5;4;3;5;5;5;5
SUS_SUPPORT;1;1;2;1;5;2;5;1;1;1;1;1;1;2;1
SUS_INTEGRATION;4;5;4;4;3;3;4;3;4;2;5;3;5;4;5
SUS_INCONSISTENCY;2;2;2;2;1;1;3;2;2;3;1;3;1;1;2
SUS_LEARNQUICKLY;5;5;3;5;5;2;4;2;5;3;4;5;5;2;4
SUS_CUMBERSOME;2;4;3;2;2;4;3;3;3;4;2;4;1;2;2
SUS_CONFIDENCE;4;2;4;5;3;2;4;4;5;3;4;2;4;4;4
SUS_SKILLCIELING;1;1;4;2;2;3;1;3;1;1;3;1;1;3;3
ID_OGF;1;2;3;4;5;5;7;8;9;10;11;12;13;14;15
Age_OGF;23;20;57;23;23;24;22;26;22;25;25;26;25;30;22
Gender_OGF;4;4;1;1;1;1;4;1;1;1;4;1;1;1;1
VR_YN_OGF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
VRHOURS_OGF;2;1;4;4;1;3;2;5;5;2;3;5;3;5;1
FRUSTRATION_SCAPE_OGF;3;2;2;4;2;6;2;2;1;5;3;1;2;2;3
USE_OF_FEATURE_OGF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
HM_USE_OGF;4;1;1;2;4;1;4;4;3;7;2;6;6;2;6
ACTIVATION_TIME_OGF;6;7;3;5;3;6;5;6;2;5;5;2;5;4;4
NASA_MD_OGF;16;19;20;12;20;18;16;7;17;16;12;12;16;6;5
NASA_PD_OGF;2;2;8;3;10;4;8;11;10;14;3;1;8;1;7
NASA_RUSH_OGF;6;1;5;4;10;4;13;5;10;13;1;7;5;3;2
NASA_PERFORMANCEDEMAND_OGF;16;20;20;8;10;15;14;14;15;8;10;20;12;1;2
NASA_SUBJECTIVE_SUCCES_OGF;2;5;5;17;20;19;9;16;15;14;16;5;11;20;15
NASA_IDISA_OGF;13;15;15;13;16;5;16;7;17;14;5;20;18;8;1
SUS_FREQUENT_OGF;3;4;4;4;2;4;1;2;2;4;3;1;3;4;4
SUS_COMPLEX_OGF;2;2;4;2;4;4;3;1;3;2;3;1;2;2;2
SUS_EASYTOUSE_OGF;2;1;1;5;3;3;2;5;2;4;4;2;2;5;4
SUS_SUPPORT_OGF;4;5;2;2;4;3;3;1;2;2;1;2;2;1;2
SUS_INTEGRATION_OGF;4;4;1;2;4;4;2;4;3;4;4;2;3;4;4
SUS_INCONSISTENCY_OGF;3;2;5;1;3;3;4;3;3;1;2;5;2;1;1
SUS_LEARNQUICKLY_OGF;3;2;1;5;2;2;1;5;1;3;4;2;3;5;5
SUS_CUMBERSOME_OGF;4;4;4;1;4;4;3;2;4;4;4;5;4;1;2
SUS_CONFIDENCE_OGF;4;2;1;2;2;2;2;2;2;3;2;1;2;3;2
SUS_SKILLCIELING_OGF;5;3;5;1;3;3;4;1;4;2;2;2;4;2;2
